Caso,Custo Inicial,Custo Final,Percentual,Tempo (s)
bbara,618.9393128245247,539.0761756858763,0.12903225806451624,68.49677314700011
bbsse,1188.0,1023.0,0.13888888888888884,74.19467944000007
bbtas,192.56842503028855,123.79398751947122,0.3571428571428571,47.75375030799978
beecount,331.5971657911106,276.3309714925922,0.16666666666666663,51.72115189099986
cse,1650.0,1518.0,0.07999999999999996,109.57964787499986
donfile,750.1955000865388,1106.5383626276448,-0.4750000000000001,111.20385927100006
keyb,1552.1642571778607,1494.6766920971993,0.03703703703703698,241.21587032599973
lion,77.0,66.0,0.1428571428571429,44.81841571000041
lion9,217.64662506490404,217.64662506490404,0.0,49.90922940099972
modulo12,192.56842503028855,192.56842503028855,0.0,49.43374809800025
s1,3181.8863699042504,2902.1600956269535,0.08791208791208793,150.8198186919999
s1a,2692.3653899189812,2587.468037064995,0.038961038961038974,114.28708007800014
sand,4600.0,4738.0,-0.030000000000000027,275.76436849200036
shiftreg,48.0,48.0,0.0,46.653736945000674
sse,1155.0,990.0,0.1428571428571429,81.278943196
styr,4870.1565836981135,4442.949865829858,0.08771929824561397,456.8243073929998
tav,198.0,180.0,0.09090909090909094,54.035040255999775
train11,246.05271769459029,215.2961279827665,0.125,54.545520986000156
