Caso,Custo Inicial,Custo Final,Percentual,Tempo (s)
bbara,618.9393128245247,499.14460711655215,0.19354838709677424,69.74708915400001
bbsse,1188.0,990.0,0.16666666666666663,77.45251090699998
bbtas,192.56842503028855,123.79398751947122,0.3571428571428571,47.748481838999965
beecount,331.5971657911106,276.3309714925922,0.16666666666666663,56.497921394
cse,1650.0,1551.0,0.06000000000000005,127.65270232900002
donfile,750.1955000865388,750.1955000865388,0.0,117.40665924800004
keyb,1552.1642571778607,1379.7015619358763,0.11111111111111105,250.35839464900005
lion,77.0,66.0,0.1428571428571429,46.66116260599995
lion9,217.64662506490404,203.1368500605771,0.06666666666666665,52.192428807000056
modulo12,192.56842503028855,151.30376252379816,0.2142857142857142,52.70098167700007
s1,3181.8863699042504,2867.1943113422917,0.09890109890109888,160.36457724500008
s1a,2692.3653899189812,2692.3653899189812,0.0,127.77333195199981
sand,4600.0,4600.0,0.0,293.3948844459999
shiftreg,48.0,48.0,0.0,52.48683393800002
sse,1155.0,957.0,0.17142857142857137,92.973514325
styr,4870.1565836981135,4314.787850469381,0.11403508771929838,392.49754017400005
tav,198.0,180.0,0.09090909090909094,56.78403056099978
train11,246.05271769459029,199.91783312685462,0.1875,57.34571238100034
